date,name,value
2013-9-30,Emacs Lisp,6186
2013-9-30,Groovy,5931
2013-9-30,Erlang,5086
2013-9-30,Puppet,3792
2013-9-30,VimL,3627
2013-9-30,XSLT,3330
2013-9-30,TeX,3326
2013-9-30,OCaml,3306
2013-9-30,R,3284
2013-9-30,Vim script,3103
2013-9-30,Rust,2734
2013-9-30,Kotlin,2219
2013-9-30,ActionScript,1914
2013-9-30,Matlab,1905
2013-9-30,Common Lisp,1878
2013-9-30,Arduino,1848
2013-9-30,Elixir,1767
2013-9-30,Dart,1741
2013-9-30,Jupyter Notebook,1588
2013-9-30,Makefile,1579
2013-9-30,Vim Script,1511
2013-9-30,PowerShell,1436
2013-9-30,Haxe,1405
2013-9-30,Scheme,1387
2013-9-30,ColdFusion,1321
2013-9-30,Julia,1308
2013-9-30,F#,1235
2013-9-30,Roff,1207
2013-9-30,D,1195
2013-9-30,Nix,1119
2013-9-30,Vala,1064
2013-9-30,PLpgSQL,1033
2013-9-30,Pascal,905
2013-9-30,Raku,893
2013-9-30,BitBake,882
2013-9-30,Visual Basic,856
2013-9-30,Swift,754
2013-9-30,SCSS,751
2013-9-30,Smalltalk,751
2013-9-30,Racket,677
2013-9-30,DM,676
2013-9-30,Assembly,668
2013-9-30,Mathematica,651
2013-9-30,MATLAB,622
2013-9-30,AutoHotkey,541
2013-9-30,Processing,528
2013-9-30,Fortran,514
2013-9-30,Prolog,506
2013-9-30,JetBrains MPS,479
2013-9-30,Tcl,449
2013-9-30,BlitzBasic,419
2013-9-30,nesC,413
2013-9-30,FORTRAN,400
2013-9-30,CMake,356
2013-9-30,Logos,345
2013-9-30,Max,340
2013-9-30,SourcePawn,339
2013-9-30,Eiffel,338
2013-9-30,Standard ML,325
2013-9-30,LiveScript,299
2013-9-30,API Blueprint,281
2013-9-30,Apex,280
2013-9-30,Verilog,266
2013-9-30,Eagle,263
2013-9-30,QML,259
2013-9-30,Objective-C++,257
2013-9-30,ASP,248
2013-9-30,OpenSCAD,244
2013-9-30,Factor,239
2013-9-30,VHDL,232
2013-9-30,Ada,231
2013-9-30,UnrealScript,229
2013-9-30,Batchfile,227
2013-9-30,Less,224
2013-9-30,SQF,218
2013-9-30,ApacheConf,211
2013-9-30,Xtend,205
2013-9-30,Forth,185
2013-9-30,Mako,179
2013-9-30,XML,178
2013-12-30,JavaScript,378139
2013-12-30,Python,278355
2013-12-30,Java,245913
2013-12-30,PHP,190700
2013-12-30,Ruby,181121
2013-12-30,C++,137705
2013-12-30,C,114811
2013-12-30,CSS,73324
2013-12-30,Shell,54579
2013-12-30,C#,54456
2013-12-30,HTML,50836
2013-12-30,Objective-C,41217
2013-12-30,Go,31578
2013-12-30,CoffeeScript,22887
2013-12-30,Scala,19299
2013-12-30,Haskell,15801
2013-12-30,Perl,14897
2013-12-30,Clojure,10600
2013-12-30,TypeScript,10267
2013-12-30,Lua,9549
2013-12-30,Groovy,7906
2013-12-30,TeX,7844
2013-12-30,Erlang,6973
2013-12-30,Emacs Lisp,6823
2013-12-30,Puppet,4783
2013-12-30,R,4675
2013-12-30,OCaml,4534
2013-12-30,Vim script,4294
2013-12-30,Rust,4178
2013-12-30,Matlab,3260
2013-12-30,VimL,3123
2013-12-30,Dart,3099
2013-12-30,Jupyter Notebook,2798
2013-12-30,Kotlin,2519
2013-12-30,ActionScript,2478
2013-12-30,Common Lisp,2426
2013-12-30,Makefile,2373
2013-12-30,Swift,2343
2013-12-30,Arduino,2123
2013-12-30,PowerShell,1999
2013-12-30,Julia,1912
2013-12-30,SCSS,1758
2013-12-30,Haxe,1744
2013-12-30,Vim Script,1672
2013-12-30,D,1638
2013-12-30,XSLT,1603
2013-12-30,Elixir,1598
2013-12-30,Nix,1477
2013-12-30,F#,1469
2013-12-30,ColdFusion,1424
2013-12-30,Scheme,1383
2013-12-30,Assembly,1377
2013-12-30,Pascal,1346
2013-12-30,CMake,1329
2013-12-30,Vala,1322
2013-12-30,PLpgSQL,1234
2013-12-30,Factor,1136
2013-12-30,Logos,1126
2013-12-30,Mathematica,1039
2013-12-30,MATLAB,1013
2013-12-30,Racket,1009
2013-12-30,BitBake,1000
2013-12-30,Processing,898
2013-12-30,Roff,897
2013-12-30,DM,844
2013-12-30,Prolog,828
2013-12-30,Tcl,823
2013-12-30,Visual Basic,760
2013-12-30,AutoHotkey,713
2013-12-30,BlitzBasic,700
2013-12-30,Raku,678
2013-12-30,FORTRAN,631
2013-12-30,LiveScript,604
2013-12-30,ASP,567
2013-12-30,Standard ML,559
2013-12-30,VHDL,555
2013-12-30,Fortran,534
2013-12-30,Brightscript,524
2013-12-30,Smalltalk,520
2013-12-30,nesC,514
2013-12-30,Max,503
2013-12-30,QML,498
2013-12-30,ApacheConf,464
2013-12-30,JetBrains MPS,416
2013-12-30,Elm,413
2013-12-30,Verilog,409
2013-12-30,Smarty,407
2013-12-30,Eagle,398
2013-12-30,Groff,353
2013-12-30,Agda,350
2013-12-30,PostScript,338
2013-12-30,Objective-C++,294
2013-12-30,Objective-J,292
2013-12-30,Xtend,289
2013-12-30,SourcePawn,275
2013-12-30,Eiffel,260
2013-12-30,Ceylon,257
2013-12-30,hoon,231
2013-12-30,Batchfile,227
2013-12-30,Coq,218
2014-3-30,JavaScript,494119
2014-3-30,Python,347028
2014-3-30,Java,299354
2014-3-30,PHP,236082
2014-3-30,Ruby,201672
2014-3-30,C++,170176
2014-3-30,C,139977
2014-3-30,CSS,99701
2014-3-30,HTML,72547
2014-3-30,C#,68428
2014-3-30,Shell,65453
2014-3-30,Objective-C,51906
2014-3-30,Go,44012
2014-3-30,CoffeeScript,28862
2014-3-30,Scala,25178
2014-3-30,Haskell,20600
2014-3-30,Perl,19482
2014-3-30,Clojure,17000
2014-3-30,TypeScript,15826
2014-3-30,Lua,11135
2014-3-30,TeX,10881
2014-3-30,Groovy,10022
2014-3-30,Emacs Lisp,8129
2014-3-30,R,7383
2014-3-30,Erlang,7129
2014-3-30,Puppet,5763
2014-3-30,Rust,5478
2014-3-30,OCaml,5129
2014-3-30,Vim script,4929
2014-3-30,Dart,4712
2014-3-30,Matlab,4372
2014-3-30,Jupyter Notebook,3965
2014-3-30,Kotlin,3794
2014-3-30,VimL,3608
2014-3-30,PowerShell,3297
2014-3-30,Makefile,3077
2014-3-30,Julia,3057
2014-3-30,Arduino,2827
2014-3-30,XSLT,2737
